"","Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","OverTime","MaritalStatus","Age","DailyRate","DistanceFromHome","Education","EmployeeNumber","EnvironmentSatisfaction","HourlyRate","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"386","Yes","Travel_Frequently","Research & Development","Technical Degree","Male","Research Scientist","Yes","Single",30,464,4,3,514,3,40,3,1,4,2285,3427,9,23,4,3,0,3,4,3,1,0,0,0
"387","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","No","Divorced",37,1107,14,3,515,4,95,3,1,1,3034,26914,1,12,3,3,1,18,2,2,18,7,12,17
"388","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","No","Divorced",40,759,2,2,516,4,46,3,2,2,5715,22553,7,12,3,3,2,8,5,3,5,4,1,3
"389","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","No","Divorced",42,201,1,4,517,2,95,3,1,1,2576,20490,3,16,3,2,1,8,5,3,5,2,1,2
"390","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Yes","Single",37,1305,10,4,518,3,49,3,2,2,4197,21123,2,12,3,4,0,18,2,2,1,0,0,1
"391","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","No","Divorced",43,982,12,3,520,1,59,2,4,2,14336,4345,1,11,3,3,1,25,3,3,25,10,3,9
"392","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","No","Married",40,555,2,3,521,2,78,2,2,3,3448,13436,6,22,4,2,1,20,3,3,1,0,0,0
"393","No","Travel_Rarely","Research & Development","Medical","Male","Research Director","No","Married",54,821,5,2,522,1,86,3,5,1,19406,8509,4,11,3,3,1,24,4,2,4,2,1,2
"394","No","Non-Travel","Sales","Marketing","Female","Sales Executive","No","Married",34,1381,4,4,523,3,72,3,2,3,6538,12740,9,15,3,1,1,6,3,3,3,2,1,2
"395","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","No","Married",31,480,7,2,524,2,31,3,2,1,4306,4156,1,12,3,2,1,13,5,1,13,10,3,12
"396","No","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","No","Married",43,313,21,3,525,4,61,3,1,4,2258,15238,7,20,4,1,1,8,1,3,3,2,1,2
"397","No","Travel_Rarely","Research & Development","Other","Female","Healthcare Representative","Yes","Divorced",43,1473,8,4,526,3,74,3,2,3,4522,2227,4,14,3,4,0,8,3,3,5,2,0,2
"398","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Yes","Single",25,891,4,2,527,2,99,2,2,4,4487,12090,1,11,3,2,0,5,3,3,5,4,1,3
"399","No","Non-Travel","Research & Development","Medical","Female","Research Scientist","Yes","Married",37,1063,25,5,529,2,72,3,2,3,4449,23866,3,15,3,1,2,15,2,3,13,11,10,7
"400","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Married",31,329,1,2,530,4,98,2,1,1,2218,16193,1,12,3,3,1,4,3,3,4,2,3,2
"401","No","Travel_Frequently","Research & Development","Life Sciences","Male","Manager","Yes","Divorced",39,1218,1,1,531,2,52,3,5,3,19197,8213,1,14,3,3,1,21,3,3,21,8,1,6
"402","No","Travel_Frequently","Sales","Life Sciences","Female","Sales Executive","No","Married",56,906,6,3,532,3,86,4,4,1,13212,18256,9,11,3,4,3,36,0,2,7,7,7,7
"403","No","Travel_Rarely","Sales","Technical Degree","Female","Sales Executive","No","Single",30,1082,12,3,533,2,83,3,2,3,6577,19558,0,11,3,2,0,6,6,3,5,4,4,4
"404","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Married",41,645,1,3,534,2,49,4,3,1,8392,19566,1,16,3,3,1,10,2,3,10,7,0,7
"405","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Divorced",28,1300,17,2,536,3,79,3,2,1,4558,13535,1,12,3,4,1,10,2,3,10,0,1,8
"406","Yes","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Married",25,688,3,3,538,1,91,3,1,1,4031,9396,5,13,3,3,1,6,5,3,2,2,0,2
"407","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Yes","Married",52,319,3,3,543,4,39,2,3,3,7969,19609,2,14,3,3,0,28,4,3,5,4,0,4
"408","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Married",45,192,10,2,544,1,69,3,1,4,2654,9655,3,21,4,4,2,8,3,2,2,2,0,2
"409","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manager","No","Married",52,1490,4,2,546,4,30,3,4,4,16555,10310,2,13,3,4,0,31,2,1,5,2,1,4
"410","No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","No","Divorced",42,532,29,2,547,1,92,3,2,3,4556,12932,2,11,3,2,1,19,3,3,5,4,0,2
"411","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","No","Single",30,317,2,3,548,3,43,1,2,4,6091,24793,2,20,4,3,0,11,2,3,5,4,0,2
"412","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manager","No","Married",60,422,7,3,549,1,41,3,5,1,19566,3854,5,11,3,4,0,33,5,1,29,8,11,10
"413","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","No","Divorced",46,1485,18,3,550,3,87,3,2,3,4810,26314,2,14,3,3,1,19,5,2,10,7,0,8
"414","No","Travel_Frequently","Research & Development","Technical Degree","Female","Healthcare Representative","No","Married",42,1368,28,4,551,4,88,2,2,4,4523,4386,0,11,3,4,3,7,4,4,6,5,0,4
"415","Yes","Travel_Rarely","Sales","Technical Degree","Female","Sales Representative","Yes","Single",24,1448,1,1,554,1,62,3,1,2,3202,21972,1,16,3,2,0,6,4,3,5,3,1,4
"416","Yes","Travel_Frequently","Sales","Marketing","Female","Sales Representative","No","Divorced",34,296,6,2,555,4,33,1,1,3,2351,12253,0,16,3,4,1,3,3,2,2,2,1,0
"417","No","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Yes","Married",38,1490,2,2,556,4,42,3,1,4,1702,12106,1,23,4,3,1,1,3,3,1,0,0,0
"418","No","Travel_Rarely","Sales","Life Sciences","Female","Manager","No","Married",40,1398,2,4,558,3,79,3,5,3,18041,13022,0,14,3,4,0,21,2,3,20,15,1,12
"419","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","No","Divorced",26,1349,23,3,560,1,90,3,1,4,2886,3032,1,22,4,2,2,3,3,1,3,2,0,2
"420","No","Non-Travel","Research & Development","Life Sciences","Male","Laboratory Technician","No","Married",30,1400,3,3,562,3,53,3,1,4,2097,16734,4,15,3,3,1,9,3,1,5,3,1,4
"421","No","Travel_Rarely","Research & Development","Medical","Male","Research Director","No","Married",29,986,3,4,564,2,93,2,3,3,11935,21526,1,18,3,3,0,10,2,3,10,2,0,7
"422","Yes","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","No","Married",29,408,25,5,565,3,71,2,1,2,2546,18300,5,16,3,2,0,6,2,4,2,2,1,1
"423","Yes","Travel_Rarely","Human Resources","Technical Degree","Male","Human Resources","No","Single",19,489,2,2,566,1,52,2,1,4,2564,18437,1,12,3,3,0,1,3,4,1,0,0,0
"424","No","Non-Travel","Sales","Other","Female","Sales Executive","No","Married",30,1398,22,4,567,3,69,3,3,1,8412,2890,0,11,3,3,0,10,3,3,9,8,7,8
"425","No","Travel_Rarely","Sales","Marketing","Male","Manager","No","Divorced",57,210,29,3,568,1,56,2,4,4,14118,22102,3,12,3,3,1,32,3,2,1,0,0,0
"426","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manager","No","Married",50,1099,29,4,569,2,88,2,4,3,17046,9314,0,15,3,2,1,28,2,3,27,10,15,7
"427","No","Non-Travel","Research & Development","Medical","Female","Laboratory Technician","No","Single",30,1116,2,3,571,3,49,3,1,4,2564,7181,0,14,3,3,0,12,2,2,11,7,6,7
"428","No","Travel_Frequently","Sales","Marketing","Female","Sales Executive","No","Married",60,1499,28,3,573,3,80,2,3,1,10266,2845,4,19,3,4,0,22,5,4,18,13,13,11
"429","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","No","Divorced",47,983,2,2,574,1,65,3,2,4,5070,7389,5,13,3,3,3,20,2,3,5,0,0,4
"430","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","No","Married",46,1009,2,3,575,1,51,3,4,3,17861,2288,6,13,3,3,0,26,2,1,3,2,0,1
"431","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Single",35,144,22,3,577,4,46,1,1,3,4230,19225,0,15,3,3,0,6,2,3,5,4,4,3
"432","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","No","Single",54,548,8,4,578,3,42,3,2,3,3780,23428,7,11,3,3,0,19,3,3,1,0,0,0
"433","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Divorced",34,1303,2,4,579,4,62,2,1,3,2768,8416,3,12,3,3,1,14,3,3,7,3,5,7
"434","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Yes","Married",46,1125,10,3,580,3,94,2,3,4,9071,11563,2,19,3,3,1,15,3,3,3,2,1,2
"435","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","No","Divorced",31,1274,9,1,581,3,33,3,3,2,10648,14394,1,25,4,4,1,13,6,4,13,8,0,8
"436","Yes","Travel_Rarely","Research & Development","Medical","Male","Manager","Yes","Married",33,1277,15,1,582,2,56,3,3,3,13610,24619,7,12,3,4,0,15,2,4,7,6,7,7
"437","Yes","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Divorced",33,587,10,1,584,1,38,1,1,4,3408,6705,7,13,3,1,3,8,2,3,4,3,1,3
"438","No","Travel_Rarely","Sales","Marketing","Male","Sales Representative","No","Single",30,413,7,1,585,4,57,3,1,2,2983,18398,0,14,3,1,0,4,3,3,3,2,1,2
"439","No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Yes","Married",35,1276,16,3,586,4,72,3,3,3,7632,14295,4,12,3,3,0,10,2,3,8,7,0,0
"440","Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","No","Married",31,534,20,3,587,1,66,3,3,3,9824,22908,3,12,3,1,0,12,2,3,1,0,0,0
"441","Yes","Travel_Frequently","Human Resources","Human Resources","Female","Human Resources","Yes","Divorced",34,988,23,3,590,2,43,3,3,1,9950,11533,9,15,3,3,3,11,2,3,3,2,0,2
"442","No","Travel_Frequently","Research & Development","Other","Male","Laboratory Technician","No","Married",42,1474,5,2,591,2,97,3,1,3,2093,9260,4,17,3,4,1,8,4,3,2,2,2,0
"443","No","Non-Travel","Sales","Medical","Male","Sales Executive","No","Single",36,635,10,4,592,2,32,3,3,4,9980,15318,1,14,3,4,0,10,3,2,10,3,9,7
"444","Yes","Travel_Frequently","Research & Development","Technical Degree","Male","Laboratory Technician","No","Single",22,1368,4,1,593,3,99,2,1,3,3894,9129,5,16,3,3,0,4,3,3,2,2,1,2
"445","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","No","Married",48,163,2,5,595,2,37,3,2,4,4051,19658,2,14,3,1,1,14,2,3,9,7,6,7
"446","No","Travel_Rarely","Sales","Life Sciences","Female","Manager","No","Single",55,1117,18,5,597,1,83,3,4,2,16835,9873,3,23,4,4,0,37,2,3,10,9,7,7
"447","No","Non-Travel","Sales","Life Sciences","Male","Sales Executive","No","Single",41,267,10,2,599,4,56,3,2,4,6230,13430,7,14,3,4,0,16,3,3,14,3,1,10
"448","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Married",35,619,1,3,600,2,85,3,2,3,4717,18659,9,11,3,3,0,15,2,3,11,9,6,9
"449","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","No","Single",40,302,6,3,601,2,75,3,4,3,13237,20364,7,15,3,3,0,22,3,3,20,6,5,13
"450","No","Travel_Frequently","Research & Development","Life Sciences","Female","Laboratory Technician","No","Married",39,443,8,1,602,3,48,3,1,3,3755,17872,1,11,3,1,1,8,3,3,8,3,0,7
"451","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Yes","Single",31,828,2,1,604,2,77,3,2,4,6582,8346,4,13,3,3,0,10,2,4,6,5,0,5
"452","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Yes","Married",42,319,24,3,605,4,56,3,3,1,7406,6950,1,21,4,4,1,10,5,2,10,9,5,8
"453","No","Travel_Rarely","Sales","Other","Male","Sales Executive","No","Married",45,561,2,3,606,4,61,3,2,2,4805,16177,0,19,3,2,1,9,3,4,8,7,3,7
"454","Yes","Travel_Frequently","Human Resources","Life Sciences","Female","Human Resources","Yes","Divorced",26,426,17,4,608,2,58,3,1,3,2741,22808,0,11,3,2,1,8,2,2,7,7,1,0
"455","No","Travel_Rarely","Research & Development","Technical Degree","Male","Manufacturing Director","No","Divorced",29,232,19,3,611,4,34,3,2,4,4262,22645,4,12,3,2,2,8,2,4,3,2,1,2
"456","No","Travel_Rarely","Research & Development","Medical","Female","Research Director","No","Divorced",33,922,1,5,612,1,95,4,4,3,16184,22578,4,19,3,3,1,10,2,3,6,1,0,5
"457","No","Travel_Rarely","Sales","Life Sciences","Male","Manager","No","Divorced",31,688,7,3,613,3,44,2,3,4,11557,25291,9,21,4,3,1,10,3,2,5,4,0,1
"458","Yes","Travel_Frequently","Sales","Marketing","Male","Sales Representative","Yes","Single",18,1306,5,3,614,2,69,3,1,2,1878,8059,1,14,3,4,0,0,3,3,0,0,0,0
"459","No","Non-Travel","Sales","Other","Male","Sales Executive","No","Divorced",40,1094,28,3,615,3,58,1,3,1,10932,11373,3,15,3,3,1,20,2,3,1,0,0,1
"460","No","Non-Travel","Research & Development","Other","Female","Healthcare Representative","Yes","Single",41,509,2,4,616,1,62,2,2,3,6811,2112,2,17,3,1,0,10,3,3,8,7,0,7
"461","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","No","Divorced",26,775,29,2,618,1,45,3,2,3,4306,4267,5,12,3,1,2,8,5,3,0,0,0,0
"462","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","No","Single",35,195,1,3,620,1,80,3,2,3,4859,6698,1,16,3,4,0,5,3,3,5,4,0,3
"463","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","No","Single",34,258,21,4,621,4,74,4,2,4,5337,19921,1,12,3,4,0,10,3,3,10,7,5,7
"464","Yes","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Yes","Single",26,471,24,3,622,3,66,1,1,4,2340,23213,1,18,3,2,0,1,3,1,1,0,0,0
"465","No","Travel_Rarely","Research & Development","Technical Degree","Female","Manufacturing Director","No","Single",37,799,1,3,623,2,59,3,3,4,7491,23848,4,17,3,4,0,12,3,4,6,5,1,2
"466","No","Travel_Frequently","Research & Development","Medical","Female","Healthcare Representative","No","Married",46,1034,18,1,624,1,86,3,3,3,10527,8984,5,11,3,4,0,28,3,2,2,2,1,2
"467","No","Travel_Rarely","Sales","Life Sciences","Female","Manager","No","Married",41,1276,2,5,625,2,91,3,4,1,16595,5626,7,16,3,2,1,22,2,3,18,16,11,8
"468","No","Non-Travel","Sales","Medical","Male","Sales Executive","No","Divorced",37,142,9,4,626,1,69,3,3,2,8834,24666,1,13,3,4,1,9,6,3,9,5,7,7
"469","No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Yes","Divorced",52,956,6,2,630,4,78,3,2,1,5577,22087,3,12,3,2,2,18,3,3,10,9,6,9
"470","Yes","Non-Travel","Sales","Other","Male","Sales Executive","No","Married",32,1474,11,4,631,4,60,4,2,3,4707,23914,8,12,3,4,0,6,2,3,4,2,1,2
"471","No","Travel_Frequently","Sales","Medical","Male","Sales Representative","No","Married",24,535,24,3,632,4,38,3,1,4,2400,5530,0,13,3,3,2,3,3,3,2,2,2,1
"472","No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","No","Married",38,1495,10,3,634,3,76,3,2,3,9824,22174,3,19,3,3,1,18,4,3,1,0,0,0
"473","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","No","Married",37,446,1,4,635,2,65,3,2,2,6447,15701,6,12,3,2,1,8,2,2,6,5,4,3
"474","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Yes","Divorced",49,1245,18,4,638,4,58,2,5,3,19502,2125,1,17,3,3,1,31,5,3,31,9,0,9
"475","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Yes","Married",24,691,23,3,639,2,89,4,1,4,2725,21630,1,11,3,2,2,6,3,3,6,5,1,4
"476","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Married",26,703,28,2,641,1,66,3,2,2,6272,7428,1,20,4,4,2,6,5,4,5,3,1,4
"477","No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","No","Married",24,823,17,2,643,4,94,2,1,2,2127,9100,1,21,4,4,1,1,2,3,1,0,0,0
"478","No","Travel_Frequently","Human Resources","Medical","Male","Manager","No","Married",50,1246,3,3,644,1,99,3,5,2,18200,7999,1,11,3,3,1,32,2,3,32,5,10,7
"479","No","Travel_Rarely","Sales","Medical","Male","Sales Representative","No","Married",25,622,13,1,645,2,40,3,1,3,2096,26376,1,11,3,3,0,7,1,3,7,4,0,6
"480","Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Laboratory Technician","Yes","Married",24,1287,7,3,647,1,55,3,1,3,2886,14168,1,16,3,4,1,6,4,3,6,3,1,2
"481","Yes","Travel_Frequently","Sales","Life Sciences","Male","Sales Representative","No","Married",30,448,12,4,648,2,74,2,1,1,2033,14470,1,18,3,3,1,1,2,4,1,0,0,0
"482","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Yes","Married",34,254,1,2,649,2,83,2,1,4,3622,22794,1,13,3,4,1,6,3,3,6,5,1,3
"483","Yes","Travel_Rarely","Sales","Medical","Male","Sales Executive","No","Divorced",31,1365,13,4,650,2,46,3,2,1,4233,11512,2,17,3,3,0,9,2,1,3,1,1,2
"484","No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","No","Single",35,538,25,2,652,1,54,2,2,4,3681,14004,4,14,3,4,0,9,3,3,3,2,0,2
"485","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","No","Divorced",31,525,6,4,653,1,66,4,2,4,5460,6219,4,22,4,4,2,13,4,4,7,7,5,7
"486","No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","No","Divorced",27,798,6,4,655,1,66,2,1,3,2187,5013,0,12,3,3,2,6,5,2,5,3,0,3
"487","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Yes","Married",37,558,2,3,656,4,75,3,2,3,9602,3010,4,11,3,3,1,17,3,2,3,0,1,0
"488","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","No","Single",20,959,1,3,657,4,83,2,1,2,2836,11757,1,13,3,4,0,1,0,4,1,0,0,0
"489","No","Travel_Rarely","Research & Development","Life Sciences","Female","Healthcare Representative","No","Married",42,622,2,4,659,3,81,3,2,4,4089,5718,1,13,3,2,2,10,4,3,10,2,2,2
"490","No","Travel_Rarely","Research & Development","Other","Male","Research Director","Yes","Divorced",43,782,6,4,661,2,50,2,4,4,16627,2671,4,14,3,3,1,21,3,2,1,0,0,0
"491","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","No","Single",38,362,1,1,662,3,43,3,1,1,2619,14561,3,17,3,4,0,8,3,2,0,0,0,0
"492","No","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Yes","Divorced",43,1001,9,5,663,4,72,3,2,3,5679,19627,3,13,3,2,1,10,3,3,8,7,4,7
"493","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manager","No","Married",48,1236,1,4,664,4,40,2,4,1,15402,17997,7,11,3,1,1,21,3,1,3,2,0,2
"494","No","Travel_Rarely","Human Resources","Life Sciences","Female","Human Resources","No","Single",44,1112,1,4,665,1,50,2,2,3,5985,26894,4,11,3,2,0,10,1,4,2,2,0,2
"495","No","Travel_Rarely","Sales","Technical Degree","Female","Sales Representative","Yes","Divorced",34,204,14,3,666,3,31,3,1,3,2579,2912,1,18,3,4,2,8,3,3,8,2,0,6
"496","Yes","Travel_Rarely","Sales","Marketing","Male","Sales Representative","No","Divorced",27,1420,2,1,667,3,85,3,1,1,3041,16346,0,11,3,2,1,5,3,3,4,3,0,2
"497","No","Travel_Rarely","Sales","Technical Degree","Male","Sales Representative","No","Single",21,1343,22,1,669,3,49,3,1,3,3447,24444,1,11,3,3,0,3,2,3,3,2,1,2
"498","No","Travel_Rarely","Research & Development","Other","Male","Manager","Yes","Married",44,1315,3,4,671,4,35,3,5,4,19513,9358,4,12,3,1,1,26,2,4,2,2,0,1
"499","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Married",22,604,6,1,675,1,69,3,1,3,2773,12145,0,20,4,4,0,3,3,3,2,2,2,2
"500","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Divorced",33,1216,8,4,677,3,39,3,2,3,7104,20431,0,12,3,4,0,6,3,3,5,0,1,2
"501","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Yes","Married",32,646,9,4,679,1,92,3,2,4,6322,18089,1,12,3,4,1,6,2,2,6,4,0,5
"502","No","Travel_Frequently","Research & Development","Medical","Female","Research Scientist","No","Divorced",30,160,3,3,680,3,71,3,1,3,2083,22653,1,20,4,3,1,1,2,3,1,0,0,0
"503","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","No","Single",53,238,1,1,682,4,34,3,2,1,8381,7507,7,20,4,4,0,18,2,4,14,7,8,10
"504","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Married",34,1397,1,5,683,2,42,3,1,4,2691,7660,1,12,3,4,1,10,4,2,10,9,8,8
"505","Yes","Travel_Frequently","Sales","Life Sciences","Female","Sales Executive","No","Married",45,306,26,4,684,1,100,3,2,1,4286,5630,2,14,3,4,2,5,4,3,1,1,0,0
"506","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Yes","Married",26,991,6,3,686,3,71,3,1,4,2659,17759,1,13,3,3,1,3,2,3,3,2,0,2
"507","No","Travel_Rarely","Research & Development","Other","Male","Manufacturing Director","No","Married",37,482,3,3,689,3,36,3,3,3,9434,9606,1,15,3,3,1,10,2,3,10,7,7,8
"508","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","No","Married",29,1176,3,2,690,2,62,3,2,3,5561,3487,1,14,3,1,1,6,5,2,6,0,1,2
"509","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Single",35,1017,6,4,691,2,82,1,2,4,6646,19368,1,13,3,2,0,17,3,3,17,11,11,8
"510","No","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","No","Divorced",33,1296,6,3,692,3,30,3,2,4,7725,5335,3,23,4,3,1,15,2,1,13,11,4,7
"511","No","Travel_Rarely","Human Resources","Medical","Male","Human Resources","No","Married",54,397,19,4,698,3,88,3,3,2,10725,6729,2,15,3,3,1,16,1,4,9,7,7,1
"512","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Yes","Divorced",36,913,9,2,699,2,48,2,2,2,8847,13934,2,11,3,3,1,13,2,3,3,2,0,2
"513","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Single",27,1115,3,4,700,1,54,2,1,4,2045,15174,0,13,3,4,0,5,0,3,4,2,1,1
"514","Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Yes","Single",20,1362,10,1,701,4,32,3,1,3,1009,26999,1,11,3,4,0,1,5,3,1,0,1,1
"515","Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Yes","Single",33,1076,3,3,702,1,70,3,1,1,3348,3164,1,11,3,1,0,10,3,3,10,8,9,7
"516","No","Non-Travel","Research & Development","Life Sciences","Male","Laboratory Technician","No","Married",35,727,3,3,704,3,41,2,1,3,1281,16900,1,18,3,3,2,1,3,3,1,0,0,0
"517","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Married",23,885,4,3,705,1,58,4,1,1,2819,8544,2,16,3,1,1,5,3,4,3,2,0,2
"518","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","No","Married",25,810,8,3,707,4,57,4,2,2,4851,15678,0,22,4,3,1,4,4,3,3,2,1,2
"519","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","No","Single",38,243,7,4,709,4,46,2,2,4,4028,7791,0,20,4,1,0,8,2,3,7,7,0,5
"520","No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","No","Divorced",29,806,1,4,710,2,76,1,1,4,2720,18959,1,18,3,4,1,10,5,3,10,7,2,8
"521","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Married",48,817,2,1,712,2,56,4,2,2,8120,18597,3,12,3,4,0,12,3,3,2,2,2,2
"522","No","Travel_Frequently","Sales","Medical","Female","Sales Executive","Yes","Divorced",27,1410,3,1,714,4,71,4,2,4,4647,16673,1,20,4,2,2,6,3,3,6,5,0,4
"523","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Single",37,1225,10,2,715,4,80,4,1,4,4680,15232,3,17,3,1,0,4,2,3,1,0,0,0
"524","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Yes","Married",50,1207,28,1,716,4,74,4,1,3,3221,3297,1,11,3,3,3,20,3,3,20,8,3,8
"525","No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","No","Single",34,1442,9,3,717,4,46,2,3,2,8621,17654,1,14,3,2,0,9,3,4,8,7,7,7
"526","Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","No","Single",24,693,3,2,720,1,65,3,2,3,4577,24785,9,14,3,1,0,4,3,3,2,2,2,0
"527","No","Travel_Rarely","Research & Development","Technical Degree","Female","Healthcare Representative","No","Single",39,408,2,4,721,4,80,2,2,3,4553,20978,1,11,3,1,0,20,4,3,20,7,11,10
"528","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Single",32,929,10,3,722,4,55,3,2,4,5396,21703,1,12,3,4,0,10,2,2,10,7,0,8
"529","Yes","Travel_Frequently","Sales","Technical Degree","Male","Sales Executive","Yes","Married",50,562,8,2,723,2,50,3,2,3,6796,23452,3,14,3,1,1,18,4,3,4,3,1,3
"530","No","Travel_Rarely","Research & Development","Life Sciences","Female","Healthcare Representative","No","Single",38,827,1,4,724,2,33,4,2,4,7625,19383,0,13,3,3,0,10,4,2,9,7,1,8
"531","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","No","Married",27,608,1,2,725,3,68,3,3,1,7412,6009,1,11,3,4,0,9,3,3,9,7,0,7
"532","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","No","Single",32,1018,3,2,727,3,39,3,3,4,11159,19373,3,15,3,4,0,10,6,3,7,7,7,7
"533","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Single",47,703,14,4,728,4,42,3,2,1,4960,11825,2,12,3,4,0,20,2,3,7,7,1,7
"534","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Yes","Married",40,580,5,4,729,4,48,2,3,1,10475,23772,5,21,4,3,1,20,2,3,18,13,1,12
